model,eval_date,gsm8k,winogrande,arc_challenge,hellaswag,truthfulqa
EleutherAI/pythia-12b,2023-10-12T13-49-53.203420,0.017437452615617893,0.6416732438831886,,,
EleutherAI/pythia-160m-deduped,2023-10-18T14-10-15.721061,0.002274450341167551,0.5138121546961326,,,
EleutherAI/pythia-1.3b,2023-10-21T20-31-22.068379,0.009855951478392721,0.5737963693764798,,,
EleutherAI/gpt-j-6b,2023-12-03T16-52-26.173919,0.029567854435178165,,,,
EleutherAI/gpt-neo-2.7B,2023-09-16T18-17-27.118418,0.01288855193328279,0.6006314127861089,,,
EleutherAI/pythia-410m-deduped,2023-10-18T09-27-36.064128,0.003032600454890068,0.5438042620363063,,,
shibing624/chinese-alpaca-plus-13b-hf,2023-09-22T22-17-42.526571,0.02122820318423048,0.7505919494869772,,,
shibing624/chinese-alpaca-plus-7b-hf,2023-10-18T01-27-29.107339,0.006823351023502654,0.7008681925808997,,,
shibing624/chinese-llama-plus-13b-hf,2023-10-15T23-56-56.799721,0.00530705079605762,0.7308602999210734,,,
upstage/llama-30b-instruct,2023-09-17T15-33-08.826830,0.12130401819560273,0.8050513022888713,,,
upstage/llama-30b-instruct-2048,2023-10-19T00-52-48.467311,0.17816527672479152,0.7955801104972375,,,
upstage/Llama-2-70b-instruct,2023-10-17T12-48-24.237609,0.32221379833206976,0.8287292817679558,,,
upstage/llama-65b-instruct,2023-10-24T19-27-31.642045,0.2623199393479909,0.8105761641673244,,,
upstage/Llama-2-70b-instruct-v2,2023-08-03T01:46:57.047903,,,0.7107508532423208,0.8789085839474209,0.6224972679005382
VMware/open-llama-0.7T-7B-open-instruct-v1.1,2023-09-22T16-28-57.992845,0.0075815011372251705,0.654301499605367,,,
augtoma/qCammel-13,2023-09-17T23-25-48.573566,0.11372251705837756,0.7616416732438832,,,
